127.0.0.1 - - [18/Jun/2024:09:54:18 +0000] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:54:24 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/index.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:54:24 +0000] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:54:50 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadSaveEmployee.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:55:17 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/saveEmployee.html?name=addy&role=TL&salary=40000&insertTime=12-11-2023 HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [18/Jun/2024:09:55:26 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:07:57 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadSaveEmployee.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:08:16 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/saveEmployee.html?name=addy&role=TL&salary=40000&insertTime=12-NOV-2023 HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:08:21 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadSaveEmployee.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:08:22 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadSaveEmployee.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:08:24 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadSaveEmployee.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:08:42 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/saveEmployee.html?name=addy&role=TL&salary=40000&insertTime=12-Nov-2023 HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:08:46 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadSaveEmployee.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:11:03 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/saveEmployee.html?name=addy&role=TL&salary=40000&insertTime=12-nov-2023 HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:23:29 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:23:35 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadDeleteEmployeeByName.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:24:59 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadDeleteEmployeeByName.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:25:05 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadDeleteEmployeeByName.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:29:46 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:29:49 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadDeleteEmployeeByName.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:30:13 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadDeleteEmployeeByName.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:30:24 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/saveEmployee.html?name=addy&role=TL&salary=40000&insertTime=12-nov-2023 HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:30:45 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadGetDetailsInDateRange.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:31:05 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadGetDetailsInDateRange.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:31:11 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/GetDetails.html HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [18/Jun/2024:10:31:23 +0000] "GET /Activity_10001_Spring_MVC_With_JPA_Integration_Xml_To_Trainee/LoadGetDetailsInDateRange.html HTTP/1.1" 200 -
